Project Name,Project Slug,Repo URL,Area,Epic,Task ID,Task Name,Description,User Value,Current State,Gap / Risk,Priority,MVP Required,Effort,Dependencies,Suggested Codex Prompt,Definition of Done,Acceptance Tests,Files Likely Affected,Status,Owner,Target Milestone,Notes,Source,Last Updated
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Security","Secrets hygiene","P0-001","Remove tracked env files and rotate credentials","Stop tracking local .env files, preserve .env.example, document rotation, and rotate any values that were committed.","Prevents credential leakage and sets safe contributor practice.",".env, .env.development, and .env.production are tracked. .gitignore now blocks future env files.","Existing git history may contain usable values.","P0","Yes","M","Human credential owner","Remove tracked env files safely, keep local files ignored, update security docs, and list every credential that must be rotated without printing values.","Env files are no longer tracked, .env.example covers required names, and rotation checklist is documented.","git ls-files .env .env.development .env.production returns nothing; app still runs with local env values.",".gitignore, .env.example, docs/SECURITY.md","Ready","Unassigned","MVP","Do in a dedicated security PR to avoid casually exposing deleted values in diffs.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Quality","CI gate","P0-002","Fix lint failures","Resolve current ESLint errors in app code, shadcn templates, Tailwind config, and Supabase functions or adjust config intentionally.","Enables reliable automated checks before production changes.","npm run lint fails with 25 errors and 9 warnings.","Bugs and style drift can enter unnoticed.","P0","Yes","M","None","Run npm run lint, fix each existing lint error with minimal code changes, avoid broad rewrites, and update ROADMAP.md with remaining warnings if any.","npm run lint exits 0 or documented warnings are intentionally allowed.","Run npm run lint, npx tsc --noEmit, npm test, and npm run build.","src/components/*, src/hooks/use-payslip-data.ts, src/lib/date-utils.ts, src/pages/*, supabase/functions/*, tailwind.config.ts, eslint.config.js","Ready","Unassigned","MVP","Some warnings come from shadcn export patterns.","Runtime Test","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Security","Dependency health","P0-003","Upgrade vulnerable dependencies","Address npm audit findings for production dependencies including React Router, PostCSS, lodash, glob, minimatch, yaml, and transitive packages.","Reduces known XSS, redirect, ReDoS, and injection risk.","npm audit --omit=dev reports 9 production vulnerabilities, 6 high.","Known vulnerable packages in production bundle or toolchain.","P0","Yes","M","Passing tests","Upgrade vulnerable packages conservatively, explain any breaking changes, and verify routes, build, and tests still pass.","Audit has no high production vulnerabilities or documented accepted exceptions.","npm audit --omit=dev, npm test, npm run build, route smoke.","package.json, package-lock.json, route code if React Router upgrade requires changes","Ready","Unassigned","MVP","npm install refreshed a stale lockfile during this audit.","Runtime Test","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Data","Supabase readiness","P0-004","Verify migrations and generated types","Run a fresh Supabase local reset or sandbox migration, confirm RLS/storage policies, and regenerate TypeScript types.","Prevents runtime failures when real users upload and query data.","Migrations exist but were not applied during this audit.","Schema may drift from generated types or fail on clean project.","P0","Yes","L","Supabase CLI and target project","Set up Supabase local or sandbox verification, apply all migrations, regenerate types, and document any failing migration with a fix.","Fresh schema applies cleanly and generated types match deployed DB.","supabase db reset or sandbox migration; app typecheck; upload smoke against sandbox.","supabase/migrations/*, src/integrations/supabase/types.ts, docs/DATA_MODEL.md","Ready","Unassigned","MVP","Needs Supabase credentials or local stack.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Product","Country support","P0-005","Align US support and country scope","Decide whether US is in MVP. If yes, add DB/extraction/type support. If no, remove US claims from marketing, calculators, and onboarding.","Avoids users selecting unsupported countries and getting broken extraction or profile saves.","UI and calculators include US. DB country constraint and extraction prompt do not fully support US.","Onboarding/profile save can fail or product overpromises.","P0","Yes","M","Product decision","Audit all country support paths and either fully implement US persistence and extraction or remove US from MVP UI and copy.","Product copy, country registry, schema, generated types, and extraction all agree.","Onboarding save for every listed country; extraction prompt supports listed countries; build and typecheck pass.","src/lib/countries/*, src/lib/types.ts, src/pages/Landing.tsx, supabase/migrations/*, supabase/functions/process-payslip/index.ts","Ready","Unassigned","MVP","Also check sitemap and guide coverage.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Runtime","Core flow verification","P0-006","End-to-end MVP smoke","Verify signup, onboarding, upload, extraction, anomaly review, draft, billing, export, and delete against sandbox services.","Confirms the product actually works beyond static build.","Only static build, tests, and dev HTTP 200 were verified.","Runtime crashes or backend misconfigurations may block users.","P0","Yes","L","P0-004, service secrets","Create and run an end-to-end QA script for the full MVP using sandbox Supabase, sandbox Stripe, and a test payslip fixture.","QA evidence is recorded with pass/fail notes and blockers.","Manual or Playwright flow covers all MVP paths; no unhandled console errors.","docs/QA_CHECKLIST.md, possible tests/e2e/*, app pages/functions","Ready","Unassigned","MVP","Do after backend secrets are available.","Runtime Test","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Payments","Billing correctness","P0-007","Verify Stripe checkout and webhook","Confirm lookup keys, embedded checkout, webhook signature, entitlement update, portal, cancellation, and lifetime purchase behavior.","Users only pay when access reliably unlocks and cancels correctly.","Payment code exists but was not runtime-verified.","Revenue and access control can break silently.","P0","Yes","M","Stripe sandbox secrets","Run sandbox Stripe billing end to end, add tests around webhook handling where possible, and document price lookup keys.","Sandbox checkout unlocks premium, portal works, cancellation updates access, webhook replay is safe.","Checkout return polling succeeds after webhook; failed payment does not unlock access; lifetime plan persists.","src/pages/Pricing.tsx, src/pages/Checkout*, src/hooks/use-subscription.ts, supabase/functions/*stripe*, supabase/functions/payments-webhook/index.ts","Ready","Unassigned","MVP","Webhook env query parameter needs review.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","AI","Extraction reliability","P1-001","Add schema validation for AI output","Validate AI JSON with a shared schema before persisting and distinguish parse, validation, and low-confidence review states.","Users get safer extraction and clearer recovery paths.","JSON is parsed and trusted after markdown fence stripping.","Invalid AI values can corrupt records or hide extraction issues.","P1","Yes","M","P0-004","Add runtime validation for process-payslip and demo extraction responses using Zod or equivalent, with tests for invalid values.","Invalid AI output produces controlled failure or review state without corrupt DB values.","Unit tests for valid, missing, malformed, and wrong-type AI outputs.","supabase/functions/process-payslip/index.ts, supabase/functions/demo-extract-payslip/index.ts, shared schema file","Backlog","Unassigned","MVP","Edge Functions use Deno; choose compatible validation approach.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","Reliability","Background processing","P1-002","Make extraction status resilient","Add clear retry/status lifecycle, avoid pretending processing continues after failed synchronous function calls, and surface retry guidance.","Users understand whether extraction is complete, retryable, or failed.","Upload catches function errors and may show success messaging.","Users may believe processing succeeded when it did not.","P1","Yes","M","P0-006","Review upload and retry states, make function failures visible, and add tests for upload success, review, failed, and retry states.","UI states match backend status and retry is safe.","Simulated function failure shows failed or retry state; successful extraction invalidates queries.","src/components/PayslipUpload.tsx, src/pages/PayslipDetail.tsx, supabase/functions/process-payslip/index.ts","Backlog","Unassigned","MVP","Consider job table later.","Code Audit","2026-05-06"
"PayCheck","payslip-peeks-and-probes","https://github.com/rory-hayes/payslip-peeks-and-probes","QA","Test coverage","P1-003","Add focused integration tests","Expand Vitest coverage for hooks, onboarding validation, upload validation, anomaly status, usage limits, and settings data export/delete.","Reduces regression risk as product work continues.","4 test files, 5 tests, narrow coverage.","Core MVP logic has little automated protection.","P1","Yes","M","P0-002","Add focused tests for high-risk frontend logic and Supabase interaction mocks without large rewrites.","Critical pure and UI logic has tests and existing tests still pass.","npm test covers new cases and passes.","src/**/*.test.tsx, src/**/*.test.ts, src/test/setup.ts","Backlog","Unassigned","MVP","Add e2e separately.","Code Audit","2026-05-06"
